Shortname	Name
fullscaleerror	Full Scale Error
coilvoltage_dc_	Coil Voltage (DC)
pretravel	Pretravel
bandwidth	Bandwidth
maxinputvoltage	Max Input Voltage
lowleveloutputcurrent	Low Level Output Current
numberofcores	Number of Cores
materialthickness	Material Thickness
nominalvgs	Nominal Vgs
maxsupplycurrent	Max Supply Current
naturalthermalresistance	Natural Thermal Resistance
failurerate	Failure Rate
pll	PLL
memorysize	Memory Size
taildiameter	Tail Diameter
dualsupplyvoltage	Dual Supply Voltage
matingretention	Mating Retention
outputcurrent	Output Current
housingmaterial	Housing Material
switchtravel	Switch Travel
powerrating	Power Rating
numberofinterrupts	Number of Interrupts
peaknon_repetitivesurgecurrent	Peak Non-Repetitive Surge Current
maxsurgecurrent	Max Surge Current
signaltonoiseratio_snr_	Signal to Noise Ratio (SNR)
numberofcolumns	Number of Columns
nominalprimaryvoltage	Nominal Primary Voltage
pulsesperrevolution	Pulses per Revolution
responsetime	Response Time
numberofunidirectionalchannels	Number of Unidirectional Channels
numberofpositionsloaded	Number of Positions Loaded
numberofinputs	Number of Inputs
gasket	Gasket
current	Current
minvaristorvoltage	Min Varistor Voltage
numberofgates	Number of Gates
collectorbasevoltage_vcbo_	Collector Base Voltage (VCBO)
temperaturecoefficient	Temperature Coefficient
voltagerating_dc_	Voltage Rating (DC)
voltage	Voltage
overloadprotection	Overload Protection
switchfunction	Switch Function
numberofmonitoredinputs	Number of Monitored Inputs
heightoffbase	Height Off Base
numberofgpio	Number of GPIO
portstyle	Port Style
voltagegain	Voltage Gain
responsefrequency	Response Frequency
interiorhousingmaterial	Interior Housing Material
dielectric	Dielectric
maxdccurrent	Max DC Current
glowwirecompliant	Glow Wire Compliant
threaded_unthreaded	Threaded/Unthreaded
maxsupplyvoltage_ac_	Max Supply Voltage (AC)
maxforwardsurgecurrent_ifsm_	Max Forward Surge Current (Ifsm)
operatingforce	Operating Force
orientation	Orientation
fasteningtype	Fastening Type
inductance	Inductance
receiverhysteresis	Receiver Hysteresis
wiregauge_min_	Wire Gauge (Min)
contactmaterial	Contact Material
maxvoltagerating_ac_	Max Voltage Rating (AC)
inputnoisecurrentdensity	Input Noise Current Density
dissipationfactor	Dissipation Factor
corematerial	Core Material
numberofgroundpositions	Number of Ground Positions
exteriorhousingmaterial	Exterior Housing Material
connectorsystem	Connector System
independentcircuits	Independent Circuits
powerconsumption	Power Consumption
wire_cablecolor	Wire/Cable Color
packaging	Packaging
diameter	Diameter
indexangle	Index Angle
underplatematerial	Underplate Material
nominalsupplycurrent	Nominal Supply Current
inputbiascurrent	Input Bias Current
referencevoltage	Reference Voltage
maxreverseleakagecurrent	Max Reverse Leakage Current
direction	Direction
makefirst_breaklast	Make First / Break Last
outputvoltageaccuracy	Output Voltage Accuracy
numberofparallelrgbchannels	Number of Parallel RGB Channels
conductordiameter	Conductor Diameter
numberofoutputphases	Number of Output Phases
topology	Topology
outputcurrentperchannel	Output Current per Channel
actuatorlength	Actuator Length
contactlength_mating	Contact Length - Mating
maxinputvoltage_ac_	Max Input Voltage (AC)
thermalconductivity	Thermal Conductivity
militarystandard	Military Standard
headheight	Head Height
maxdutycycle	Max Duty Cycle
maxrepetitivereversevoltage_vrrm_	Max Repetitive Reverse Voltage (Vrrm)
isolatedpower	Isolated Power
insidediameter	Inside Diameter
maxinputcurrent	Max Input Current
wordsize	Word Size
mechanicallife	Mechanical Life
maxbreakdownvoltage	Max Breakdown Voltage
stabilizers	Stabilizers
frequency	Frequency
current_output2	Current - Output 2
p1db	P1dB
contactmatinglength	Contact Mating Length
clampingvoltage	Clamping Voltage
currenttransferratio	Current Transfer Ratio
numberofholes	Number of Holes
highspeedserialdataconnector	High Speed Serial Data Connector
numberofcharactersperrow	Number Of Characters Per Row
differentialnonlinearity	Differential Nonlinearity
durabilityrating	Durability Rating
iip3	IIP3
weight	Weight
rechargeability	Rechargeability
oscillatortype	Oscillator Type
characterwidth	Character Width
attenuationvalue	Attenuation Value
releasetime	Release Time
minsupplyvoltage_dc_	Min Supply Voltage (DC)
casecode_imperial_	Case Code (Imperial)
numberofspichannels	Number of SPI Channels
coiltype	Coil Type
backgroundcolor	Background Color
qfactor	Q Factor
saturationcurrent	Saturation Current
contactcurrentrating	Contact Current Rating
maxsupplyvoltage	Max Supply Voltage
numberofprogrammablei_o	Number of Programmable I/O
on_stateresistance	On-State Resistance
differentialoutput	Differential Output
insulationdiameter	Insulation Diameter
peakwavelength	Peak Wavelength
maxoutputcurrent	Max Output Current
numberofa_dconverters	Number of A/D Converters
backlightcolor	Backlight Color
cordlength	Cord Length
outputtype	Output Type
switchingcurrent	Switching Current
bodyplating	Body Plating
illuminationcolor	Illumination Color
falltime	Fall Time
switchingcapacity	Switching Capacity
spurious_freedynamicrange_sfdr_	Spurious-free dynamic range (SFDR)
platingthickness	Plating Thickness
shellfinish	Shell Finish
contactfinishthickness	Contact Finish Thickness
efficiency	Efficiency
coilvoltage_ac_	Coil Voltage (AC)
minsupplyvoltage_ac_	Min Supply Voltage (AC)
sensingdistance	Sensing Distance
cathodecurrent	Cathode Current
speedgrade	Speed Grade
strippinglength	Stripping Length
differentialsignaling	Differential Signaling
forwardvoltage	Forward Voltage
nominalinputvoltage_dc_	Nominal Input Voltage (DC)
preloaded	Preloaded
maxsupplyvoltage_dc_	Max Supply Voltage (DC)
shape	Shape
fwftsupport	FWFT Support
studdiameter	Stud Diameter
insulationmaterial	Insulation Material
viewingarea_width_	Viewing Area (width)
referencetype	Reference Type
workingvoltage	Working Voltage
timetotrip	Time to Trip
numberofwireentries	Number of Wire Entries
testvoltage	Test Voltage
numberofi_os	Number of I/Os
contactretention	Contact Retention
switchingtemperature	Switching Temperature
screwflange	Screw Flange
plating	Plating
memorytype	Memory Type
switchingvoltage	Switching Voltage
loadimpedance	Load Impedance
faultprotection	Fault Protection
staticpressure	Static Pressure
mountingholediameter	Mounting Hole Diameter
luminousintensity	Luminous Intensity
turnsratio	Turns Ratio
length	Length
numberofreceivebuffers	Number of Receive Buffers
contactpitch	Contact Pitch
loadcapacitance	Load Capacitance
builtinswitch	Built in Switch
maxcurrentrating	Max Current Rating
numberofelements	Number of Elements
controlmethod	Control Method
terminationpostlength	Termination Post Length
coilcurrent	Coil Current
numberofcoresperjack	Number of Cores per Jack
numberofterminations	Number of Terminations
evaluationkit	Evaluation Kit
stackable	Stackable
interlock	Interlock
electricallife	Electrical Life
dcresistance_dcr__parallel	DC Resistance (DCR) - Parallel
turn_ondelaytime	Turn-On Delay Time
matingcycles	Mating Cycles
boardthickness	Board Thickness
hfemin	hFE Min
numberofpairs	Number of Pairs
touchscreen	Touchscreen
numberofdrivers	Number of Drivers
contactvoltagerating_ac_	Contact Voltage Rating (AC)
thermalresistance_forcedairflow_100lfm_	Thermal Resistance @ Forced Air Flow (100 LFM)
channeltype	Channel Type
shielding	Shielding
clockedgetriggertype	Clock Edge Trigger Type
resolution_width_	Resolution (width)
numberofregulators	Number of Regulators
numberofd_aconverters	Number of D/A Converters
case_package	Case/Package
diagonalsize	Diagonal Size
numberofpowerpositions	Number of Power Positions
heavyduty	Heavy Duty
maxoperatingtemperature	Max Operating Temperature
approvals	Approvals
thermalresistanceofpackage	Thermal Resistance of Package
numberofdecks	Number of Decks
panelthickness	Panel Thickness
zenervoltage	Zener Voltage
contactstyle	Contact Style
ambienttemperaturerangelow	Ambient Temperature Range Low
maxjunctiontemperature	Max Junction Temperature (Tj)
datapolarity	Data Polarity
lifecyclestatus	Lifecycle Status
datecode	Date Code
maxdatarate	Max Data Rate
shortcircuitcurrent	Short Circuit Current (ICC)
onresistance	On Resistance (RON)
meltingpoint	Melting Point (I2T)
maxresistance1hour	Maximum Resistance 1 Hour (R1max)
maxsatcurrent	Max Saturation Current
temprisecurrent	Temperature Rise Current
maxthickness	Max Thickness
manufacturerlifecyclestatus	Manufacturer Lifecycle Status
phasejitter	Phase Jitter
flashmemorysize	Flash Memory Size
maxdigitalsupplyvoltage	Max Digital Supply Voltage
maxbatteryvoltage	Max Battery Voltage
nominalanalogsupplyvoltage	Nominal Analog Supply Voltage
minbandwidth	Min Bandwidth
mindigitalsupplyvoltage	Min Digital Supply Voltage
minswitchingfrequency	Min Switching Frequency
maxbandwidth	Max Bandwidth
scheduleB	Schedule B
introdate	Introduction Date
collectoremittervoltage_vceo_	Collector Emitter Voltage (VCEO)
mininputvoltage	Min Input Voltage
watchdogtimer	Watchdog Timer
panelmountretention	Panel Mount Retention
gatetosourcevoltage_vgs_	Gate to Source Voltage (Vgs)
numberoftaps	Number of Taps
mountinginsert	Mounting Insert
matingalignment	Mating Alignment
frequencystability	Frequency Stability
seriesresistance	Series Resistance
inputcurrent	Input Current
density	Density
numberofbitsperelement	Number of Bits per Element
contrastratio	Contrast Ratio
inductance_series	Inductance - Series
pcbmountalignment	PCB Mount Alignment
guidehardware	Guide Hardware
orificediameter	Orifice Diameter
wire_cablediameter	Wire/Cable Diameter
numberofbits	Number of Bits
logicfunction	Logic Function
connectorscolor	Connectors Color
minoutputvoltage	Min Output Voltage
undervoltagethreshold	Undervoltage Threshold
esdprotection	ESD Protection
headdiameter	Head Diameter
selectivelyloaded	Selectively Loaded
powerdissipation	Power Dissipation
hightemperaturehousing	High Temperature Housing
leadpitch	Lead Pitch
thickness	Thickness
maxoutputvoltage	Max Output Voltage
maxcollectorcurrent	Max Collector Current
powersupplyrejectionratio_psrr_	Power Supply Rejection Ratio (PSRR)
washable	Washable
backlighttype	Backlight Type
bparameter	B Parameter
nominaloutputvoltage	Nominal Output Voltage
matingpostlength	Mating Post Length
databuswidth	Data Bus Width
emitterbasevoltage_vebo_	Emitter Base Voltage (VEBO)
slewrate	Slew Rate
